identifier,description,subject[0],subject[1],subject[2],title,creator,date,collection,language,licenseurl,rights,contributor,credits
lcp_ms21,,Gradual,15th century,Italian,"Gradual, incomplete",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms22,,Treatise,15th century,Italian,"Jacobus de Cessolis: De ludo scacchorum, incomplete",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms4,,Psalter,16th century,German,Gallican Psalter with Canticles,,1520,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms5,,Book of Hours,15th century,French,"Book of Hours, Use of Rouen",,1470,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms6,,Commentary,15th century,France,Postilla super psalterium (Commentary on the Psalms),,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms7,,Antiphonary,15th century,Italian,Diurnal Antiphonal,,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms8,,Prayer book,Psalter,14th century,"Gallican Psalter with Canticles, Litany, and Prayers",,1300,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lcp_ms9,,Bible,13th century,English,Biblia,,1200,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_001,,12th century,Italian,Fragment,Historia of St. Nicholas with the lections,,1100,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_002,,Document,12th century,Italian,Anon. Life of St. Nicholas,,1100,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_003,,12th century,French,France,"Bifolium from De civitate Dei, Book 22",,1100,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_006,,Document,15th century,English,Deed of release,,1484,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_007,,Chronicle,15th century,English,Anon. The Brut,,1400,upenn,enm,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_004,,13th century,Italian,Italy,Moral and didactic writings,,1268,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_005,,14th century,Netherlands,Dutch,John Cassian. Coliatiosses XXIV,,1300,upenn,dum,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_009,,15th century,Italian,Italy,Anon. Writings on astronomy,,1480,upenn,ita,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_010,,Alchemy,15th century,Italy,Alchemical writings,,1472,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_011,,Treatise,15th century,Italian,De artetica et de caculosa passione,,1490,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_012,,Portolan chart,16th century,Italian,Anon. Portolan charts,,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_013,,15th century,Italian,Gloss,Aeneid,,1462,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_014,,Treatise,16th century,French,Varii artis veterinariae scriptores graeci,,1530,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_015,,15th century,France,French,"Book of Hours, Franciscan Use",,1350,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_016,,15th century,France,French,"Book of Hours, Use of Paris",,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_017,,15th century,France,French,"Book of Hours, Use of Rome",,1490,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_019,,16th century,Flemish,Flanders,"Book of Hours, Use of Rome",,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_020,,15th century,France,French,"Book of Hours, Use of Rome",,1420,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_021,,Dogale,16th century,Italian,Dogale,,1502,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_022,,16th century,Spanish,Illumination,"Carta executoria de hidalguia de Agustin de Yturbe, vezino de la ciudad de Sevilla",,1593,upenn,spa,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_023,,Gradual,15th century,Italian,Gradual,,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_024,,Antiphonary,15th century,Italian,Antiphonal,,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_026,,Portolan chart,19th century,Forgery,Portolan Chart,,1800,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lehigh_codex_027,,16th century,Spain,Spanish,Collection of leaves from a gradual/antiphon,,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_add_001,,Song book,Musical notation,Fragment,Music Manuscript,,1000,upenn,zxx,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_add_002,,Song book,Musical notation,Fragment,Music Manuscript,,1000,upenn,zxx,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_add_003,,Song book,Musical notation,Fragment,Music Manuscript,,1000,upenn,zxx,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_add_004,,Italy,Italian,Missal,Missal,,1475,upenn,zxx,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_001,,13th century,Italian,Italy,De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons),,1275,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_002,,15th century,Germany,Philosophy,De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany,,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_003,,Astrology,Tables,Science,Canon super almanach; De 12 signis et eorum naturis in generali,,1340,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_004,,15th century,Italy,Treatise,Hexameron,,1468,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_005,,Treatise,12th century,France,De casu diaboli (On the Fall of the Devil),,1150,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_006,,Antiphonary,14th century,French,"Antiphonary, Dominican use",,1300,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_007,,16th century,French,France,Processional,,1505,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_008,,15th century,France,French,Fragments from a Gradual,,1475,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_009,,Processional,Astrology,Science,Processional; Astronomical Text binding fragment,,1450,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_010,,Antiphonary,Italian,Italy,"Antiphonary, diurnal (Ambrosian Rite)",,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_011,,15th century,Italian,Italy,Antiphonary,,1496,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_012,,Antiphonary,Italy,Italian,Antiphonary,,1500,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_014,,Treatise,15th century,Christian,De censuris ecclesiasticis; Three papal bulls,,1464,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_015,,13th century,Italy,Logic,Organon and related texts,,1285,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_016,,15th century,Paper,German,Secreta secretorum (Secrets of Secrets),,1465,upenn,gmh,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_017,,Armorial,16th century,German,Armorial,,1500,upenn,ger,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_018,,15th century,German,Germany,Liber de vinis,,1400,upenn,gmh,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_019,,Collection of Sermons,12th century,Christian,In epistolam Johannis ad Parthos (Sermons on the first epistle of Saint John),,1185,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_020,,Collection of Sermons,Missal,11th century,De quattuor virtutibus caritatis (On the four virtues of charity),,1000,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_021,,Treatise,14th century,Christian,De sermone domini in monte habito (On the sermon on the mount) and other treatises; De superbia (On pride) and other treatises; Expositio dominice orationis (Exposition on the lord's prayer),,1300,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_022,,Commentary,12th century,Spanish,Enarrationes in psalmos (Expositions on the psalms); Initials (ABC); Prayer,,1150,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_023,,Collection of Sermons,Germany,Puzzle initial,Sermons,,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_025,,15th century,Treatise,German,De forma honestae vitae; De institutione monachorum,,1450,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
lewis_e_026,,Treatise,15th century,Flemish,De consideratione (On Consideration),,1400,upenn,lat,http://creativecommons.org/publicdomain/mark/1.0/,Public Domain,Upenn Code (need to get),Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation.
