"identifier","file","description","subject[0]","subject[1]","subject[2]","title","creator","date","collection","language","licenseurl","rights","contributor","credits"
"cpp_10a_249","cpp_10a_249.pdf","Historical Medical Library of The College of Physicians of Philadelphia, 10a 249. Oxford, England, Oxford; 1348. ","14th century","Miscellany","English","Lilium medicinae","Historical Medical Library of The College of Physicians of Philadelphia","1348","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"horace_ms_1a","horace_ms_1a.pdf","Free Library of Philadelphia, Horace MS 1a. Austria? Hungary?, Fourth quarter 15th century. This manuscript, the first of two volumes, contains the Ars Poetica and Epistulae by Horace. It was written in Austria or Hungary in the fourth quarter of the 15th century.","15th century","Austria","Manicules","Ars Poetica and Epistulae","Free Library of Philadelphia","1475","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"horace_ms_1b","horace_ms_1b.pdf","Free Library of Philadelphia, Horace MS 1b. Austria? Hungary?, Fourth quarter 15th century. This manuscript, the second of two volumes, contains Cicero's Laelius de Amicitia. It was written in Austria or Hungary in the fourth quarter of the 15th century.","15th century","Austria","Manicules","Laelius de Amicitia","Free Library of Philadelphia","1475","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lc_14_13","lc_14_13.pdf","Free Library of Philadelphia, LC 14 13. England, Early 14th century. ","Treatise","14th century","English","Britton","Free Library of Philadelphia","1300","upenn","fro","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lc_14_28","lc_14_28.pdf","Free Library of Philadelphia, LC 14 28. England, Late 14th century. This manuscript is a late 14th century copy of the Statuta vetera (Old Statutes), including the Magna Carta and the Customs of Kent.","Treatise","14th century","English","Statuta vetera (Old Statutes)","Free Library of Philadelphia","1385","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lc_14_9_5","lc_14_9_5.pdf","Free Library of Philadelphia, LC 14 9.5. London?, England, Circa 1450. This manuscript contains the Statuta nova","Treatise","15th century","English","Statuta nova (New Statutes)","Free Library of Philadelphia","1450","upenn","frm","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_m7","lcp_m7.pdf","Library Company, 7. Italy, 15th century. This large Diurnal Antiphonal, produced in Italy in the fifteenth century, contains Ferial material for the recitation of the Office from Prime through Vespers. Its final folio and a stub preceding it contain unrelated fragmentary material.","Antiphonary","15th century","Italian","Diurnal Antiphonal","Library Company","1400","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms024","lcp_ms024.pdf","Library Company, 24. Northern France, Calendar includes numerous saints venerated in Thérouanne, Saint-Omer, and the surrounding region: Saint Sylvin of Thérouanne (16 February, fol. 2v), Saint Humfridus (8 March, fol. 3r), Saint Bertinus of Saint-Omer (5 September, fol. 9r), Saint Omer (9 September, fol. 9r), Saint Wulfran of Abbeville (16 October, fol. 10v), Saint Winnoc of Berghes (6 November, fol. 11r), Saint Maxim of Wismes (13 September, fol. 9r and 4 December, fol. 12r); Hours of the Virgin of the Use of Thérouanne; first quarter 16th century. This Book of Hours was produced in Northern France in the first quarter of the sixteenth century. The calendar contains numerous saints venerated in the region of Thérouanne (See Origin details), and the Hours of the Virgin is of the Use of Thérouanne. The book is embellished with ten full-page miniatures surrounded by illusionistic panel borders, twelve foliate borders, and twenty smaller miniatures with single-side panel borders accompanying the Gospel Lessons, a prayer for the buried, and the Suffrages. Several pages with miniatures have been removed (see Foliation/Pagination). The miniatures and illusionistic borders are in a regional Northern French style derived from the so-called Bruges-Ghent school of illumination, while the majority of the foliate borders introducing the texts are in a more traditional French style. Several of the miniatures, border details, and inscriptions are derived from images in printed Books of Hours designed by the Master of the Très Petites Heures of Anne of Brittany. The original owner of the book has not been precisely identified, though he is depicted in prayer before an image of the Trinity on fol. 128v, and his unidentified coat-of-arms is reproduced three times (1 and 4, argent a lion sable armed and langued gules; 2 and 3, or an anchored and belted cross gules party per pale argent three fleurs-de-lys sable; fols. 29r, 51r, and 128v). A motto, Il n'est que d'estre, is also present on fols. 40r, 51r, and 128v. The calendar and rubrics are in French. The book was in the possession of the Philadelphia collector William Hamilton as early as 1768.","16th century","France","Book of Hours","Hamilton Book of Hours, Use of Thérouanne","Library Company","1500","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms14","lcp_ms14.pdf","Library Company, 14. Italy, Circa 1600. This manuscript is a late sixteenth- or early seventeenth-century collection of Franciscan texts, including the Franciscan rule in twelve chapters as it appeared in the papal bull Solet annuere issued by Honorius III; the testament of Saint Francis of Assisi in Italian; and lists of precepts in Italian drawn from the rule.  The erased text on the first leaf (fol. 1r) is from the third chapter of the rule, almost the same as a leaf of text within the manuscript (fol. 3r) but with slightly different line breaks.","17th century","Italy","Illustration","Regulae ordinis fratrum minorum Franciscani etc.","Library Company","1600","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms15","lcp_ms15.pdf","Library Company, 15. Northern France, Second half 15th century. This manuscript is a twenty-three folio fragment of a fifteenth-century Book of Hours produced in Northern France. It contains fragments of the Seven Penitential Psalms, Hours of the Cross, Hours of the Holy Spirit, and Litany. The first five folios, all singletons, are severely and irregularly trimmed. Apart from three conjoined bifolia, the book consists of bound singletons. The manuscript was bequeathed to the Loganian Library (later the Library Company of Philadelphia) by William Mackenzie.","Book of Hours","15th century","French","Book of Hours, fragment","Library Company","1450","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms18","lcp_ms18.pdf","Library Company, 18. France, Late 15th century. This late-fifteenth-century manuscript contains an unpublished devotional text, the Traictie des VII fruis de tribulacion, written by a member of the Celestine order. It contains a single opening miniature representing a kneeling layman in prayer before Saint Michael, Saint James (or possibly Saint Roch), and a bishop saint. The unidentified coat-of-arms below has been erased and crudely re-drawn. The text is lightly annotated by a later, seventeenth-century hand, and contains a table of contents in a similar script (fol. 77r). An added Latin devotional poem in a non-professional hand is present on folio 78. There is an illegible early ownership note on the recto of the parchment flyleaf as well as an early inscription with the date of 1538. The manuscript was subsequently owned by the Baron d'Hess (apparently Frederick II, Landgrave of Hesse-Kassel), and may have been purchased from the latter's sale in 1785 directly by William Mackenzie of Philadelphia.","Private devotional text","15th century","French","Traictie des VII fruis de tribulacion","Library Company","1475","upenn","frm","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms19","lcp_ms19.pdf","Library Company, 19. Spain, Circa 1500. This large Antiphonal was produced around 1500 in Spain. It retains its original covers, complete with tooled leather, central and corner bosses, and corner pieces.","Antiphonal","16th century","Spanish","Antiphonal","Library Company","1500","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms1","lcp_ms1.pdf","Library Company, 1. Constantinople, Manuscript's content, script, and decoration link it to other Chrysostom manuscripts from early tenth-century Constantinople (N. Kavrus-Hoffmann); first quarter 10th century (N. Kavrus-Hoffmann). This Greek manuscript of Saint John Chrysostom's homilies on Paul's Letter to the Ephesians and commentary on the Letter to Galatians was written in the first quarter of the tenth century, probably in Constantinople. The first four homilies on Ephesians are missing leaves; homilies 5-24 on Ephesians are complete; and the commentary on Galatians is missing leaves at the end. The beginning of each homily is marked with a simple decorated division bar and initial.","Commentary","Collection of Sermons","10th century","S. John Chrysostom: Homilies","Library Company","0900","upenn","grc","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms4","lcp_ms4.pdf","Library Company, 4. Augsburg, Germany, Circa 1520. This luxury Psalter appears to have been created for Duke Wilhelm IV of Bavaria (1493-1550), as suggested by the depiction of the arms of Bavaria on folio 32r. It contains the major Psalm groupings at Psalms 1, 26, 38, 52, 68, 80, 97, and 109, but also contains additional subdivisions for Sunday Vespers, and for Ferial Vespers. The Psalter is accompanied by the Canticles, Litany, and Collect (fols. 130r-146r). Appended in a slightly later hand are Musical notation for the Kyrie and other prayers, dated 1540 (fols. 146v-152v). Illuminated roundels depicting episodes from the life of King David mark the beginning of each Psalm division. These scenes and the associated illuminated borders, which contain numerous depictions of animals, have been attributed to the Swiss illuminator Nikolaus Bertschi.","Psalter","16th century","German","Gallican Psalter with Canticles","Library Company","1520","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms5","lcp_ms5.pdf","Library Company, 5. Rouen, France, Inscription on fol. 13r reads: Ces heure [sic] apartiene à Charles Thierry, oficier chez monsieur le regent de France dans la minorité de Louis quinze roy de France et de Navare, 1732 ; further ownership inscriptions on lower flyleaves; circa 1470. This Book of Hours of the Use of Bourges contains nine miniatures by the workshop of the Master of the Échevinage de Rouen. The borders surrounding several of these miniatures include gold backgrounds and human and animal figures. A tenth miniature in a different style, representing the Mass of Saint Gregory (fol. 13r), was inserted to replace a miniature and two missing leaves from the Gospel Lessons. Further pages that contained miniatures were excised between folios 65 and 66 (Adoration of the Magi for Sext), folios 68 and 69 (Presentation in the Temple for None), folios 107 and 108 (Pentecost for the Hours of the Holy Spirit) and folios 147 and 148 (likely the Virgin and Child at the beginning of a series of prayers to the Virgin in French). The Book of Hours begins with a graded calendar, in French, containing the feasts for Saint Sauveur (6 August), Saint Marcial (3 July), and Saint Roumain (23 October). The Gospel Lessons are followed by the Obsecro te and O intemerata prayers. The Hours of the Virgin of the Use of Bourges forms the core text of the book. The following section consists of the Seven Penitential Psalms accompanied by the Litany and Prayers. The Short Hours of the Cross and Short Hours of the Holy spirit are next, followed by the Office of the Dead. The final section contains prayers in French to the Virgin, to Christ, and to the Cross.","Book of Hours","15th century","French","Book of Hours, Use of Rouen","Library Company","1470","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms6","lcp_ms6.pdf","Library Company, 6. France, First quarter 15th century. This early-fifteenth-century manuscript contains the text of Nicholas of Lyra's commentary on the Psalms. The preface is introduced by a damaged historiated initial with an author portrait. Further illuminated initials mark the beginnings of Psalms 1, 26, 51, 80, 109. An early user has divided it into eight books according to the habitual Psalm divisions by means of the Roman numeral headings I-VII. Numerals for the last book are absent.","Commentary","15th century","France","Postilla super psalterium (Commentary on the Psalms)","Library Company","1400","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms8","lcp_ms8.pdf","Library Company, 8. Northeastern France, First quarter of the fourteenth century. This compact, early-fourteenth-century Psalter was produced in Northeastern France. It contains historiated initials at Psalms 1, 26, 38 (lacking, originally between folios 43 and 44), 52, 68, 80, 97, and 109, but also includes an additional historiated initial for Psalm 51. The Psalter is followed by Canticles, the Litany, and Prayers. This book is among the earliest illuminated manuscripts brought to Philadelphia, as it is recorded in the collection of the Library Company of Philadelphia by 1788, when it was bound by the local binder Caleb Buglass.","Prayer","Psalter","14th century","Gallican Psalter with Canticles, Litany, and Prayers","Library Company","1300","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lcp_ms9","lcp_ms9.pdf","Library Company, 9. England, 13th century. This manuscript is a thirteenth-century English Bible that was presented to the Library Company of Philadelphia in 1768 by Dr. George Vaux of London.  The books of the Bible are bound in an unusual order, in a later binding with signs of trimming. In the Hebrew scriptures, Psalms is followed by the minor prophets, then the major prophets, then the wisdom books.  Leaves at the end of Ezekiel and the beginning of Daniel are missing (between fols. 307 and 308). In the Christian scriptures, the Gospels (a leaf or two with the end of Jerome's prologue to the Gospels and the opening of Matthew are missing between fols. 360 and 361) and Acts are followed by the Catholic Epistles, then the Pauline Epistles, then the Pastoral Epistles, concluding with the Apocalypse and the Interpretationes Hebraicorum Nominum. Additional works copied in other hands include excerpts from sermons of Innocent III, bound in at the front (fols. 2r-3v); the letter of Prester John, before Proverbs (fols. 324v-326v); and an excerpt from Peter Lombard's commentary on 1 Corinthians, between the Apocalypse and the Interpretationes Hebraicorum nominum (fols. 455v-456v). Greek words in the prologues of Jerome are rendered in Greek letters with a second interlinear transcription above them; a list of the Hebrew letters and their names with Jerome's meanings and a table of the Greek letters and their names appear at the end of the manuscript (fol. 496r).","Bible","13th century","English","Biblia","Library Company","1200","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_001","lewis_e_001.pdf","Free Library of Philadelphia, Lewis E 1. Bologna?, Italy, Fourth quarter 13th century. This late thirteenth-century Italian manuscript brings together several treatises and sermons of Albertano da Brescia, followed by Archipresbyter Leo's history of Alexander the Great and the epistle on India attributed to Prester John. It is written in early Italian rotunda script and illuminated with initials and marginal illustrations in a palette of dark blue, light blue, orange, pink, and cream.","13th century","Italian","Italy","De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons)","Free Library of Philadelphia","1275","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_002","lewis_e_002.pdf","Free Library of Philadelphia, Lewis E 2. Germany, 1473; 15th century. This is a fifteenth-century German manuscript containing Pseudo-Albertus Magnus, De mirabilis mundi with exposition and gloss (ff. 3r-62v) and Boethis, De consolatione philisophiae with exposition and gloss (ff. 63r-238v). The front flyleaf (numbered 1) is a parchment leaf containing text from an unidentified grammatical treatise, while the back flyleaf (numbered 239) is a parchment leaf containing text from an unidentified theological treatise.","15th century","Germany","Philosophy","De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany","Free Library of Philadelphia","1400","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
"lewis_e_003","lewis_e_003.pdf","Free Library of Philadelphia, Lewis E 3. England, Part I dated 1340; Part II dated to 15th century (de Ricci) or 16th century (Wolf), script suggests 15th century. This manuscript consists of a series of astronomical tables and a secondary text concerning astrology and planetary movements.","Astrology","Tables","Science","Canon super almanach; De 12 signis et eorum naturis in generali","Free Library of Philadelphia","1340","upenn","lat","http://creativecommons.org/publicdomain/mark/1.0/","Public Domain","Upenn Code (need to get)","Digitized through the Bibliotheca Philadelphiensis project. Bibliotheca Philadelphiensis is supported by a Digitizing Hidden Collections grant from the Council on Library and Information Resources (CLIR). The grant program is made possible by funding from The Andrew W. Mellon Foundation."
